id,train_from,train_to,test_from,test_to
0,0,60000,0,10000
1,0,60000,0,10000
2,0,60000,0,10000
3,0,60000,0,10000
4,0,60000,0,10000
5,0,60000,0,10000
6,0,60000,0,10000
7,0,60000,0,10000
8,0,60000,0,10000
9,0,60000,0,10000
10,0,60000,0,10000
11,0,60000,0,10000
12,0,60000,0,10000
13,0,60000,0,10000
14,0,60000,0,10000
15,0,60000,0,10000
16,0,60000,0,10000
17,0,60000,0,10000
18,0,60000,0,10000
19,0,60000,0,10000
20,0,60000,0,10000
21,0,60000,0,10000
22,0,60000,0,10000
23,0,60000,0,10000
24,0,60000,0,10000
25,0,60000,0,10000
26,0,60000,0,10000
27,0,60000,0,10000
28,0,60000,0,10000
29,0,60000,0,10000
30,0,60000,0,10000
31,0,60000,0,10000
32,0,60000,0,10000
33,0,60000,0,10000
34,0,60000,0,10000
35,0,60000,0,10000
36,0,60000,0,10000
37,0,60000,0,10000
38,0,60000,0,10000
39,0,60000,0,10000
40,0,60000,0,10000
41,0,60000,0,10000
42,0,60000,0,10000
43,0,60000,0,10000
44,0,60000,0,10000
45,0,60000,0,10000
46,0,60000,0,10000
47,0,60000,0,10000
48,0,60000,0,10000
49,0,60000,0,10000
